m,k,n,latency_us,mfu
8,2048,5120,19.379,0.016
16,2048,5120,19.327,0.032
32,2048,5120,19.388,0.065
64,2048,5120,19.192,0.13
128,2048,5120,19.189,0.261
256,2048,5120,19.203,0.522
512,2048,5120,35.406,0.566
1024,2048,5120,51.274,0.781
4096,2048,5120,194.97,0.822
8192,2048,5120,391.505,0.819
16384,2048,5120,772.491,0.83
32768,2048,5120,1541.071,0.832
65536,2048,5120,3307.525,0.775
131072,2048,5120,6925.173,0.741
8,4096,2048,32.815,0.008
16,4096,2048,33.28,0.015
32,4096,2048,33.262,0.03
64,4096,2048,33.112,0.06
128,4096,2048,33.178,0.121
256,4096,2048,33.296,0.241
512,4096,2048,33.327,0.481
1024,4096,2048,64.18,0.499
4096,4096,2048,154.623,0.829
8192,4096,2048,309.62,0.828
16384,4096,2048,601.627,0.852
32768,4096,2048,1199.182,0.855
65536,4096,2048,2516.288,0.815
131072,4096,2048,5321.365,0.771
8,2048,12288,31.286,0.024
16,2048,12288,29.207,0.051
32,2048,12288,27.17,0.111
64,2048,12288,19.386,0.31
128,2048,12288,19.364,0.621
256,2048,12288,35.428,0.679
512,2048,12288,66.404,0.724
1024,2048,12288,115.46,0.833
4096,2048,12288,463.452,0.83
8192,2048,12288,918.658,0.837
16384,2048,12288,1863.773,0.825
32768,2048,12288,3978.771,0.773
65536,2048,12288,8292.991,0.742
131072,2048,12288,16840.946,0.731
