dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,bf16,1,1024,18.365,0.006
bf16,bf16,1,4096,18.2,0.025
bf16,bf16,1,8192,19.204,0.047
bf16,bf16,1,16384,24.13,0.075
bf16,bf16,1,32768,30.234,0.12
bf16,bf16,1,65536,124.002,0.059
bf16,bf16,1,131072,234.093,0.062
bf16,bf16,16,1024,20.486,0.089
bf16,bf16,16,4096,120.93,0.06
bf16,bf16,16,8192,231.019,0.063
bf16,bf16,16,16384,448.766,0.065
bf16,bf16,16,32768,885.835,0.066
bf16,bf16,16,65536,1756.858,0.066
bf16,bf16,16,131072,3500.114,0.066
bf16,bf16,32,1024,29.223,0.124
bf16,bf16,32,4096,231.658,0.063
bf16,bf16,32,8192,449.2,0.065
bf16,bf16,32,16384,886.541,0.065
bf16,bf16,32,32768,1761.275,0.066
bf16,bf16,32,65536,3501.85,0.066
bf16,bf16,32,131072,6983.951,0.066
bf16,bf16,64,1024,126.506,0.057
bf16,bf16,64,4096,478.834,0.061
bf16,bf16,64,8192,957.094,0.061
bf16,bf16,64,16384,1892.221,0.061
bf16,bf16,64,32768,3733.473,0.062
bf16,bf16,64,65536,7470.059,0.062
bf16,bf16,64,131072,15013.304,0.062
bf16,bf16,128,1024,228.908,0.063
bf16,bf16,128,4096,892.004,0.065
bf16,bf16,128,8192,1776.431,0.065
bf16,bf16,128,16384,3535.151,0.066
bf16,bf16,128,32768,7074.856,0.066
bf16,bf16,128,65536,14115.781,0.066
bf16,bf16,256,1024,449.133,0.065
bf16,bf16,256,4096,1754.82,0.066
bf16,bf16,256,8192,3495.734,0.066
bf16,bf16,256,16384,6981.373,0.067
bf16,bf16,512,1024,891.56,0.065
bf16,bf16,512,4096,3512.649,0.066
bf16,bf16,512,8192,7001.048,0.066
